"rhost";"date";"time";"timezone";"method";"request_first_line";"http_version";"final_state_code";"bytes";"referer";"user_agent";"compatibility";"MSIE";"MSIE_version";"OS";"OS_version"
"210.116.59.164";"Mar 13";"04:05:47";500;"POST";"/_vti_bin/_vti_aut/fp30reg.dll";"HTTP/1.1";404;1063;"";"";"";"";"";"";""
"210.116.59.164";"Mar 13";"04:06:32";500;"POST";"/_vti_bin/_vti_aut/fp30reg.dll";"HTTP/1.1";404;1063;"";"";"";"";"";"";""
"210.116.59.164";"Mar 13";"04:07:19";500;"POST";"/_vti_bin/_vti_aut/fp30reg.dll";"HTTP/1.1";404;1063;"";"";"";"";"";"";""
"210.116.59.164";"Mar 13";"04:08:11";500;"POST";"/_vti_bin/_vti_aut/fp30reg.dll";"HTTP/1.1";404;1063;"";"";"";"";"";"";""
"210.116.59.164";"Mar 13";"04:09:00";500;"POST";"/_vti_bin/_vti_aut/fp30reg.dll";"HTTP/1.1";404;1063;"";"";"";"";"";"";""
"211.141.115.145";"Mar 13";"04:10:18";500;"GET";"/";"HTTP/1.1";403;2898;"";"Mozilla/4.0";"compatible";"MSIE";"5.5";"Windows";"98"
"66.30.71.74";"Mar 13";"08:03:27";500;"GET";"/scripts/nsiislog.dll";"HTTP/1.1";404;1050;"";"";"";"";"";"";""
"218.1.111.50";"Mar 13";"10:36:11";500;"GET";"http://www.yahoo.com/";"HTTP/1.1";403;2898;"";"Mozilla/4.0";"compatible";"MSIE";"4.01";"Windows";"95"
"218.1.111.50";"Mar 13";"10:36:11";500;"GET";"http://www.yahoo.com/";"HTTP/1.1";403;2898;"";"Mozilla/4.0";"compatible";"MSIE";"4.01";"Windows";"95"
"218.1.111.50";"Mar 13";"10:36:11";500;"GET";"http://www.yahoo.com/";"HTTP/1.1";403;2898;"";"Mozilla/4.0";"compatible";"MSIE";"4.01";"Windows";"95"
"218.1.111.50";"Mar 13";"10:36:11";500;"GET";"http://www.yahoo.com/";"HTTP/1.1";403;2898;"";"Mozilla/4.0";"compatible";"MSIE";"4.01";"Windows";"95"
"218.1.111.50";"Mar 13";"10:36:11";500;"GET";"http://www.yahoo.com/";"HTTP/1.1";403;2898;"";"Mozilla/4.0";"compatible";"MSIE";"4.01";"Windows";"95"
"218.1.111.50";"Mar 13";"10:36:11";500;"GET";"http://www.yahoo.com/";"HTTP/1.1";403;2898;"";"Mozilla/4.0";"compatible";"MSIE";"4.01";"Windows";"95"
